,guest_speaker,imdb_rating,imd_votes,number_of_episodes
99, Kelsey Grammer,"[6.0, 8.0, 7.0, 7.0, 6.9, 0.0]","[1051.0, 1023.0, 706.0, 580.0, 456.0, 0.0]",6
100, Larry King,[8.3],[1142.0],1
101, Henry Corden,[8.3],[1142.0],1
102,James Earl Jones,[9.0],[1690.0],1
103,Meryl Streep,[8.0],[1150.0],1
104,Dennis Franz,[9.0],[1655.0],1
105, Homer,[9.0],[1655.0],1
106,Anne Bancroft,[7.8],[1100.0],1
107, Ted Danson,[7.8],[1100.0],1
108, Rhea Perlman,[7.8],[1100.0],1
109, George Wendt,[7.8],[1100.0],1
110,Patrick Stewart,[8.9],[1457.0],1
111,Dick Cavett,[8.5],[1254.0],1
112, Joe Mantegna,"[8.5, 8.7, 6.9, 8.6, 7.7, 7.1, 6.9, 6.3, 7.2, 6.9, 6.3]","[1254.0, 1330.0, 734.0, 1095.0, 716.0, 555.0, 535.0, 618.0, 780.0, 482.0, 426.0]",12
113,Mel Brooks,[7.9],[1006.0],1
114, Ballet Teacher,[7.9],[1006.0],1
115, Maurice LaMarche,"[8.5, 7.0, 7.3, 7.1, 7.1, 6.9, 7.2, 6.4, 6.5, 5.8, 7.9, 0.0]","[1223.0, 569.0, 692.0, 762.0, 613.0, 482.0, 559.0, 597.0, 468.0, 652.0, 977.0, 0.0]",12
116,Mandy Patinkin,[8.3],[1190.0],1
117, Steve Allen,[8.3],[1084.0],1
118,Tito Puente,"[9.1, 8.9]","[1619.0, 1497.0]",2
119,Mickey Rooney,[8.3],[1172.0],1
120,Joan Kenley,[8.3],[1088.0],1
121,Paul McCartney,[8.5],[1288.0],1
122, Linda McCartney,[8.5],[1288.0],1
123,Paul Anka,[8.5],[1304.0],1
124,Glenn Close,"[8.5, 7.3, 7.1, 7.3, 6.7]","[1226.0, 595.0, 613.0, 541.0, 416.0]",5
125, Harry Morgan,[8.5],[1226.0],1
126,R. Lee Ermey,[8.0],[1023.0],1
127, Glenn Close,"[7.5, 6.2]","[1038.0, 330.0]",3
128,Lawrence Tierney,[8.3],[1146.0],1
129,Bill Oakley,[8.7],[1264.0],1
130,Tom Kite,[7.7],[962.0],1
131,Bob Newhart,[7.7],[954.0],1
132,Donald Sutherland,[8.1],[1039.0],1
133, Kirk Douglas,[8.0],[1016.0],1
134, Alex Rocco,[8.0],[1016.0],1
135, Jack Sheldon,[8.0],[1016.0],1
136, Fat Tony,"[8.2, 8.2, 7.3, 7.1, 6.7]","[1103.0, 975.0, 809.0, 733.0, 482.0]",5
137, MacArthur Parker,[8.2],[1103.0],1
138,Peter Frampton,[8.0],[1095.0],1
139, The Smashing Pumpkins,[8.0],[1095.0],1
140,Christina Ricci,[8.3],[1119.0],1
